Evidence ID,Title,Category,Description,Purpose,Software item,SVerP activity ID,SVerP reference,Verification method,Verification level,Verified product,Required baseline,Actual baseline,Planned producer,Reviewer,Independence,Planned availability,Status,Approval status,Checksum,SVR destination,DJF destination,Source path,Priority
EVD-CODE-001,Source Code Verification Evidence — __init__.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/assurance_engine/__init__.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/assurance_engine/__init__.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,ef860d58cd4b077c298faba2b4b483b794d59c3433f483298b7f2288628f5732,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/assurance_engine/__init__.py,P1
EVD-CODE-002,Source Code Verification Evidence — engine.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/assurance_engine/engine.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/assurance_engine/engine.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,9124b9614dde11c8b123b6352dbbb60a882a23d024298884c6e1a78423b87e67,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/assurance_engine/engine.py,P1
EVD-CODE-003,Source Code Verification Evidence — packages.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/assurance_engine/packages.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/assurance_engine/packages.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,5c74656cc6333397dbddc4dd197c90b34191880e04ef4e24ce2251e875237578,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/assurance_engine/packages.py,P1
EVD-CODE-004,Source Code Verification Evidence — reports.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/assurance_engine/reports.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/assurance_engine/reports.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,5332ba1a3c9bc564328b05227b22c323562a40cd3505d418fbe1230686ac9fea,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/assurance_engine/reports.py,P1
EVD-CODE-005,Source Code Verification Evidence — __init__.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/continuous/__init__.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/continuous/__init__.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,c0df865443c4b09b97ee9174dc59e2ada9f40ed194c868f1f62170aad53ddcfe,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/continuous/__init__.py,P1
EVD-CODE-006,Source Code Verification Evidence — engine.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/continuous/engine.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/continuous/engine.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,d67c4f55b66981467c376de93e425453481ac6a6d7fa1e47292cf3c86900419a,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/continuous/engine.py,P1
EVD-CODE-007,Source Code Verification Evidence — __init__.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/__init__.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/__init__.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,a961fd67dd1a5b03a02b176c56cb946a658d488e149d55aafadca16ed1adb730,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/__init__.py,P1
EVD-CODE-008,Source Code Verification Evidence — __init__.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/__init__.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/__init__.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,06f71181bed47248ebcf829e691d778754306484717740dc025f75ddef6d4dc9,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/__init__.py,P1
EVD-CODE-009,Source Code Verification Evidence — builders.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/builders.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/builders.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,4932ec9e8933fc13e4e0ea8e4f8249ed538d84fd139e4ac28cf8c3d587e6d2b0,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/builders.py,P1
EVD-CODE-010,Source Code Verification Evidence — lls.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/lls.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/lls.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,28daeeb4488bb65f396abf17fee514d57dd11d2a78968ab3533414935233e6e7,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/lls.py,P1
