Tag;Descrizione;Tipo;Segnale;Area;Modulo;Canale;Note
BL-01-RUN;Soffiante BL-01 — comando marcia;DO;24 VDC / relè;Trasporto;DQ-01;00;Avvio da sequenza o manuale
BL-01-FB;Soffiante BL-01 — feedback marcia;DI;24 VDC;Trasporto;DI-01;00;Contattore/ausiliario
BL-01-FLT;Soffiante BL-01 — allarme termico/inverter;DI;24 VDC;Trasporto;DI-01;01;NC, apre su guasto
VFD-01-REF;Inverter soffiante — riferimento velocità;AO;0/10 V;Trasporto;AQ-01;00;Regolazione vuoto
CT-01;Corrente motore soffiante;AI;4-20 mA;Trasporto;AI-01;00;0-20 A
PI-102;Trasmettitore vuoto linea;AI;4-20 mA;Trasporto;AI-01;01;-100..0 kPa
PDT-103;Pressione differenziale filtro;AI;4-20 mA;Trasporto;AI-01;02;0-6 kPa, allarme intasamento
EV-104;Elettrovalvola pulizia filtro (controsoffio);DO;24 VDC;Trasporto;DQ-01;01;Ciclo temporizzato
LSL-151;Ciclone CY-101 — livello basso (passaggio libero);DI;24 VDC;Trasporto;DI-01;02;Sonda capacitiva
EV-101-O;Valvola ghigliottina EV-101 — apri;DO;24 VDC;Trasporto;DQ-01;02;Isolamento ciclone
EV-101-C;Valvola ghigliottina EV-101 — chiudi;DO;24 VDC;Trasporto;DQ-01;03;Bistabile
EV-101-OP;EV-101 — feedback aperta;DI;24 VDC;Trasporto;DI-01;03;Finecorsa
EV-101-CL;EV-101 — feedback chiusa;DI;24 VDC;Trasporto;DI-01;04;Finecorsa
M-101-RUN;Valvola rotativa M-101 — marcia;DO;24 VDC / relè;Trasporto;DQ-01;04;Airlock, mantiene il vuoto
M-101-FB;M-101 — feedback marcia;DI;24 VDC;Trasporto;DI-01;05;
M-101-FLT;M-101 — allarme termico;DI;24 VDC;Trasporto;DI-01;06;NC
DV-101;Deviatrice superiore silo G1;DO;24 VDC;Silos;DQ-01;05;Un solo deviatore aperto per volta
DV-101-OP;Deviatrice G1 — feedback aperta;DI;24 VDC;Silos;DI-01;07;
LS-201H;Livello alto silo G1;DI;24 VDC;Silos;DI-01;08;Blocca deviatore (intangibile)
LS-201L;Livello basso silo G1;DI;24 VDC;Silos;DI-01;09;Consenso dosaggio
DV-102;Deviatrice superiore silo G2;DO;24 VDC;Silos;DQ-01;06;Un solo deviatore aperto per volta
DV-102-OP;Deviatrice G2 — feedback aperta;DI;24 VDC;Silos;DI-01;10;
LS-202H;Livello alto silo G2;DI;24 VDC;Silos;DI-01;11;Blocca deviatore (intangibile)
LS-202L;Livello basso silo G2;DI;24 VDC;Silos;DI-01;12;Consenso dosaggio
DV-103;Deviatrice superiore silo G3;DO;24 VDC;Silos;DQ-01;07;Un solo deviatore aperto per volta
DV-103-OP;Deviatrice G3 — feedback aperta;DI;24 VDC;Silos;DI-01;13;
LS-203H;Livello alto silo G3;DI;24 VDC;Silos;DI-01;14;Blocca deviatore (intangibile)
LS-203L;Livello basso silo G3;DI;24 VDC;Silos;DI-01;15;Consenso dosaggio
